jogador_id,nome,idade,numero,posicao,foto_url,team_id
634326,F. Ferreira,18,81,Goalkeeper,https://media.api-sports.io/football/players/634326.png,118
9979,João Paulo,30,34,Goalkeeper,https://media.api-sports.io/football/players/9979.png,118
10109,Léo Vieira,35,22,Goalkeeper,https://media.api-sports.io/football/players/10109.png,118
657690,J. C. Neres dos Santos I.,19,91,Goalkeeper,https://media.api-sports.io/football/players/657690.png,118
9512,Ronaldo,29,1,Goalkeeper,https://media.api-sports.io/football/players/9512.png,118
407275,Victor,19,61,Goalkeeper,https://media.api-sports.io/football/players/407275.png,118
10351,David Duarte,30,33,Defender,https://media.api-sports.io/football/players/10351.png,118
454143,DodÃ´,19,53,Defender,https://media.api-sports.io/football/players/454143.png,118
505598,Fred,19,83,Defender,https://media.api-sports.io/football/players/505598.png,118
353728,Gabriel Xavier,24,3,Defender,https://media.api-sports.io/football/players/353728.png,118
463667,Gerald,18,54,Defender,https://media.api-sports.io/football/players/463667.png,118
10305,Gilberto,32,2,Defender,https://media.api-sports.io/football/players/10305.png,118
459837,Roman Gomez,21,31,Defender,https://media.api-sports.io/football/players/459837.png,118
10375,Iago,28,25,Defender,https://media.api-sports.io/football/players/10375.png,118
10059,Kanu,28,4,Defender,https://media.api-sports.io/football/players/10059.png,118
197383,Luciano Juba,26,46,Defender,https://media.api-sports.io/football/players/197383.png,118
454562,Luiz Gustavo,19,43,Defender,https://media.api-sports.io/football/players/454562.png,118
350808,Marcos Victor,24,44,Defender,https://media.api-sports.io/football/players/350808.png,118
129880,S. Ramos,24,21,Defender,https://media.api-sports.io/football/players/129880.png,118
411433,Zé Guilherme,20,66,Defender,https://media.api-sports.io/football/players/411433.png,118
180236,Caio Alexandre,26,8,Midfielder,https://media.api-sports.io/football/players/180236.png,118
510204,David Martins,18,63,Midfielder,https://media.api-sports.io/football/players/510204.png,118
10130,Erick,28,14,Midfielder,https://media.api-sports.io/football/players/10130.png,118
10168,Éverton Ribeiro,36,10,Midfielder,https://media.api-sports.io/football/players/10168.png,118
9994,Jean Lucas,27,6,Midfielder,https://media.api-sports.io/football/players/9994.png,118
51545,N. Acevedo,26,5,Defender,https://media.api-sports.io/football/players/51545.png,118
454146,Pedro Henrique,19,58,Midfielder,https://media.api-sports.io/football/players/454146.png,118
9954,Rodrigo Nestor,25,11,Midfielder,https://media.api-sports.io/football/players/9954.png,118
409289,Roger,18,80,Midfielder,https://media.api-sports.io/football/players/409289.png,118
407265,Sidney,19,55,Midfielder,https://media.api-sports.io/football/players/407265.png,118
454145,Wendel Silva,19,67,Midfielder,https://media.api-sports.io/football/players/454145.png,118
9854,Ademir,30,7,Attacker,https://media.api-sports.io/football/players/9854.png,118
607365,C. Suassuna,18,90,Attacker,https://media.api-sports.io/football/players/607365.png,118
510677,Dell,17,89,Attacker,https://media.api-sports.io/football/players/510677.png,118
303127,Erick Pulga,25,16,Midfielder,https://media.api-sports.io/football/players/303127.png,118
10222,Everaldo,34,27,Attacker,https://media.api-sports.io/football/players/10222.png,118
409288,João Coni,19,78,Attacker,https://media.api-sports.io/football/players/409288.png,118
525667,Çağatay Yılmaz,21,57,Attacker,https://media.api-sports.io/football/players/525667.png,118
544701,Lyan Araujo,16,71,Attacker,https://media.api-sports.io/football/players/544701.png,118
51701,M. Araújo,29,15,Midfielder,https://media.api-sports.io/football/players/51701.png,118
634401,R. Nascimento,17,72,Attacker,https://media.api-sports.io/football/players/634401.png,118
67902,C. Olivera,23,99,Midfielder,https://media.api-sports.io/football/players/67902.png,118
633434,Ruan Roger,21,82,Attacker,https://media.api-sports.io/football/players/633434.png,118
454147,Ruan Pablo,17,77,Attacker,https://media.api-sports.io/football/players/454147.png,118
355253,M. Sanabria,21,23,Attacker,https://media.api-sports.io/football/players/355253.png,118
47319,Willian José,34,12,Attacker,https://media.api-sports.io/football/players/47319.png,118
306552,Anthoni,23,12,Goalkeeper,https://media.api-sports.io/football/players/306552.png,119
624986,Diego Esser,20,32,Goalkeeper,https://media.api-sports.io/football/players/624986.png,119
415046,Kauan,22,22,Goalkeeper,https://media.api-sports.io/football/players/415046.png,119
50077,S. Rochet,32,1,Goalkeeper,https://media.api-sports.io/football/players/50077.png,119
288720,B. Aguirre,25,35,Defender,https://media.api-sports.io/football/players/288720.png,119
577746,Alisson,17,30,Defender,https://media.api-sports.io/football/players/577746.png,119
129902,A. Bernabéi,25,26,Midfielder,https://media.api-sports.io/football/players/129902.png,119
633308,Eduardo Carlos,19,39,Defender,https://media.api-sports.io/football/players/633308.png,119
279579,Clayton,25,20,Defender,https://media.api-sports.io/football/players/279579.png,119
9912,Juninho,30,18,Defender,https://media.api-sports.io/football/players/9912.png,119
633307,Lazaro,18,40,Defender,https://media.api-sports.io/football/players/633307.png,119
638214,D. Marfo,20,43,Defender,https://media.api-sports.io/football/players/638214.png,119
197051,Matheus Bahia,26,6,Midfielder,https://media.api-sports.io/football/players/197051.png,119
2044,G. Mercado,38,25,Defender,https://media.api-sports.io/football/players/2044.png,119
505150,Pablo,19,42,Defender,https://media.api-sports.io/football/players/505150.png,119
463956,Pedro Kauã,19,46,Defender,https://media.api-sports.io/football/players/463956.png,119
63964,F. Torres,28,4,Defender,https://media.api-sports.io/football/players/63964.png,119
305042,Victor Gabriel,21,41,Defender,https://media.api-sports.io/football/players/305042.png,119
692,Alan Patrick,34,10,Midfielder,https://media.api-sports.io/football/players/692.png,119
415052,Allex,19,31,Midfielder,https://media.api-sports.io/football/players/415052.png,119
610495,B. Arhin,19,33,Midfielder,https://media.api-sports.io/football/players/610495.png,119
143368,Bruno Gomes,24,15,Defender,https://media.api-sports.io/football/players/143368.png,119
9921,Bruno Henrique,36,8,Midfielder,https://media.api-sports.io/football/players/9921.png,119
633310,Joao Gabriel Kempes Goncalves,16,51,Midfielder,https://media.api-sports.io/football/players/633310.png,119
633309,Alves Kauan,19,50,Midfielder,https://media.api-sports.io/football/players/633309.png,119
96353,Paulinho,28,27,Midfielder,https://media.api-sports.io/football/players/96353.png,119
10240,Richard,31,36,Midfielder,https://media.api-sports.io/football/players/10240.png,119
51468,A. Rodríguez,25,14,Midfielder,https://media.api-sports.io/football/players/51468.png,119
10167,Ronaldo,29,16,Midfielder,https://media.api-sports.io/football/players/10167.png,119
22231,Thiago Maia,28,29,Midfielder,https://media.api-sports.io/football/players/22231.png,119
6519,R. Villagra,24,5,Midfielder,https://media.api-sports.io/football/players/6519.png,119
9893,Alerrandro,25,9,Attacker,https://media.api-sports.io/football/players/9893.png,119
6011,R. Borré,30,19,Attacker,https://media.api-sports.io/football/players/6011.png,119
41368,Tabata,28,17,Attacker,https://media.api-sports.io/football/players/41368.png,119
13691,J. Carbonero,26,7,Attacker,https://media.api-sports.io/football/players/13691.png,119
407013,Diego Coser,20,38,Attacker,https://media.api-sports.io/football/players/407013.png,119
609580,J. Bezerra,16,49,Attacker,https://media.api-sports.io/football/players/609580.png,119
633284,Victor Joao,18,44,Attacker,https://media.api-sports.io/football/players/633284.png,119
305819,Kayky,22,11,Attacker,https://media.api-sports.io/football/players/305819.png,119
520576,Raykkonen Pereira Soares,17,48,Attacker,https://media.api-sports.io/football/players/520576.png,119
10147,Vitinho,26,28,Attacker,https://media.api-sports.io/football/players/10147.png,119
463962,Yago,18,37,Attacker,https://media.api-sports.io/football/players/463962.png,119
292166,Léo Linck,24,24,Goalkeeper,https://media.api-sports.io/football/players/292166.png,120
410134,C. Loor,19,40,Goalkeeper,https://media.api-sports.io/football/players/410134.png,120
912,Neto,36,22,Goalkeeper,https://media.api-sports.io/football/players/912.png,120
80188,Raul,28,1,Goalkeeper,https://media.api-sports.io/football/players/80188.png,120
378,Alex Telles,33,13,Defender,https://media.api-sports.io/football/players/378.png,120
5933,A. Barboza,30,20,Defender,https://media.api-sports.io/football/players/5933.png,120
1845,Bartolomeu Jacinto Quissanga,34,15,Defender,https://media.api-sports.io/football/players/1845.png,120
283837,Caio Roque,23,27,Defender,https://media.api-sports.io/football/players/283837.png,120
2440,N. Ferraresi,27,5,Defender,https://media.api-sports.io/football/players/2440.png,120
561346,Gabriel Abdias,19,36,Defender,https://media.api-sports.io/football/players/561346.png,120
414428,J. Hernández,19,67,Defender,https://media.api-sports.io/football/players/414428.png,120
505409,Huguinho,18,75,Defender,https://media.api-sports.io/football/players/505409.png,120
614641,F. Januario,18,21,Defender,https://media.api-sports.io/football/players/614641.png,120
613321,Kadu Santos,20,42,Defender,https://media.api-sports.io/football/players/613321.png,120
474102,Kauã Branco,19,53,Defender,https://media.api-sports.io/football/players/474102.png,120
634521,J. Lira,17,13,Defender,https://media.api-sports.io/football/players/634521.png,120
652,Marçal,36,21,Defender,https://media.api-sports.io/football/players/652.png,120
544705,Marquinhos,18,64,Defender,https://media.api-sports.io/football/players/544705.png,120
297687,M. Ponte,22,4,Defender,https://media.api-sports.io/football/players/297687.png,120
8661,Vitinho,26,2,Defender,https://media.api-sports.io/football/players/8661.png,120
426627,Ythallo,21,3,Defender,https://media.api-sports.io/football/players/426627.png,120
326,Allan,34,25,Midfielder,https://media.api-sports.io/football/players/326.png,120
609493,Arthur Novaes,17,48,Midfielder,https://media.api-sports.io/football/players/609493.png,120
410843,J. Barrera,19,14,Midfielder,https://media.api-sports.io/football/players/410843.png,120
403670,Bernardo Valim,19,80,Midfielder,https://media.api-sports.io/football/players/403670.png,120
506276,Caio Valle,18,45,Midfielder,https://media.api-sports.io/football/players/506276.png,120
275170,Danilo,24,8,Midfielder,https://media.api-sports.io/football/players/275170.png,120
10387,Edenílson,36,88,Midfielder,https://media.api-sports.io/football/players/10387.png,120
635348,Pedro Henrique de Paula Martins,17,16,Midfielder,https://media.api-sports.io/football/players/635348.png,120
544707,G. Justino,19,34,Midfielder,https://media.api-sports.io/football/players/544707.png,120
414352,Lucas Camilo,19,78,Midfielder,https://media.api-sports.io/football/players/414352.png,120
237186,C. Medina,23,6,Midfielder,https://media.api-sports.io/football/players/237186.png,120
609481,Miguel Caldas,17,47,Midfielder,https://media.api-sports.io/football/players/609481.png,120
455130,Álvaro Montoro,18,10,Midfielder,https://media.api-sports.io/football/players/455130.png,120
634522,D. Nery,17,68,Midfielder,https://media.api-sports.io/football/players/634522.png,120
277169,Newton,25,28,Midfielder,https://media.api-sports.io/football/players/277169.png,120
51581,S. Rodríguez,25,23,Midfielder,https://media.api-sports.io/football/players/51581.png,120
463987,Wallace II,18,55,Midfielder,https://media.api-sports.io/football/players/463987.png,120
9938,Arthur Cabral,27,19,Attacker,https://media.api-sports.io/football/players/9938.png,120
614621,Arthur Izaque,18,39,Attacker,https://media.api-sports.io/football/players/614621.png,120
544681,K. Barria,18,37,Attacker,https://media.api-sports.io/football/players/544681.png,120
1854,J. Correa,31,30,Attacker,https://media.api-sports.io/football/players/1854.png,120
10432,Júnior Santos,31,7,Attacker,https://media.api-sports.io/football/players/10432.png,120
413140,Kauan Toledo,19,59,Attacker,https://media.api-sports.io/football/players/413140.png,120
305821,Matheus Martins,22,11,Midfielder,https://media.api-sports.io/football/players/305821.png,120
614654,Matheusinho,18,57,Attacker,https://media.api-sports.io/football/players/614654.png,120
419936,Nathan Fernandes,20,16,Attacker,https://media.api-sports.io/football/players/419936.png,120
104792,Chris Ramos,28,9,Attacker,https://media.api-sports.io/football/players/104792.png,120
634523,Rogerinho,17,2,Attacker,https://media.api-sports.io/football/players/634523.png,120
609507,Samuel,17,19,Attacker,https://media.api-sports.io/football/players/609507.png,120
308798,L. Villalba,24,77,Attacker,https://media.api-sports.io/football/players/308798.png,120
464019,Aranha,20,24,Goalkeeper,https://media.api-sports.io/football/players/464019.png,121
10373,Carlos Miguel,27,1,Goalkeeper,https://media.api-sports.io/football/players/10373.png,121
580796,K. Lima,18,1,Goalkeeper,https://media.api-sports.io/football/players/580796.png,121
512533,Luiz Felipe,18,51,Goalkeeper,https://media.api-sports.io/football/players/512533.png,121
10372,Marcelo Lomba,39,14,Goalkeeper,https://media.api-sports.io/football/players/10372.png,121
425715,Arthur,20,56,Defender,https://media.api-sports.io/football/players/425715.png,121
415068,Benedetti,19,43,Defender,https://media.api-sports.io/football/players/415068.png,121
10379,Bruno Fuchs,26,3,Defender,https://media.api-sports.io/football/players/10379.png,121
306706,A. Giay,21,4,Defender,https://media.api-sports.io/football/players/306706.png,121
2502,G. Gómez,32,15,Defender,https://media.api-sports.io/football/players/2502.png,121
311384,Jefté,22,6,Defender,https://media.api-sports.io/football/players/311384.png,121
10125,Khellven,24,12,Defender,https://media.api-sports.io/football/players/10125.png,121
10083,Murilo,28,26,Defender,https://media.api-sports.io/football/players/10083.png,121
51466,J. Piquerez,27,22,Defender,https://media.api-sports.io/football/players/51466.png,121
425714,Allan,21,40,Midfielder,https://media.api-sports.io/football/players/425714.png,121
899,Andreas Pereira,29,8,Midfielder,https://media.api-sports.io/football/players/899.png,121
575323,Larson,20,48,Midfielder,https://media.api-sports.io/football/players/575323.png,121
21095,Lucas Evangelista,30,30,Midfielder,https://media.api-sports.io/football/players/21095.png,121
574837,Luis Felipe,17,50,Midfielder,https://media.api-sports.io/football/players/574837.png,121
9218,Marlon Freitas,30,17,Midfielder,https://media.api-sports.io/football/players/9218.png,121
153083,E. Martínez,26,32,Midfielder,https://media.api-sports.io/football/players/153083.png,121
106485,Maurício,24,18,Midfielder,https://media.api-sports.io/football/players/106485.png,121
196298,R. Sosa,26,19,Midfielder,https://media.api-sports.io/football/players/196298.png,121
13708,J. Arias,28,11,Midfielder,https://media.api-sports.io/football/players/13708.png,121
512522,Erick Machado,18,45,Midfielder,https://media.api-sports.io/football/players/512522.png,121
2412,Felipe Anderson,32,7,Midfielder,https://media.api-sports.io/football/players/2412.png,121
516815,Ramon Riquelme,19,37,Attacker,https://media.api-sports.io/football/players/516815.png,121
295513,J. López,25,42,Attacker,https://media.api-sports.io/football/players/295513.png,121
449244,Luighi Hanri,19,31,Attacker,https://media.api-sports.io/football/players/449244.png,121
987,Paulinho,25,10,Attacker,https://media.api-sports.io/football/players/987.png,121
340279,Vitor Roque,20,9,Attacker,https://media.api-sports.io/football/players/340279.png,121
10080,Fábio,45,1,Goalkeeper,https://media.api-sports.io/football/players/10080.png,124
180866,Marcelo,23,27,Goalkeeper,https://media.api-sports.io/football/players/180866.png,124
634765,L. Santana,17,50,Goalkeeper,https://media.api-sports.io/football/players/634765.png,124
10079,Vitor Eudes,27,98,Goalkeeper,https://media.api-sports.io/football/players/10079.png,124
505398,Davi Schuindt,21,40,Defender,https://media.api-sports.io/football/players/505398.png,124
6337,J. Freytes,25,22,Defender,https://media.api-sports.io/football/players/6337.png,124
9874,Guga,27,23,Defender,https://media.api-sports.io/football/players/9874.png,124
2038,Guilherme Arana,28,13,Defender,https://media.api-sports.io/football/players/2038.png,124
10017,Ignacio,29,4,Defender,https://media.api-sports.io/football/players/10017.png,124
9872,Igor Rabello,30,21,Defender,https://media.api-sports.io/football/players/9872.png,124
282692,Jemmes,25,3,Defender,https://media.api-sports.io/football/players/282692.png,124
443088,Julio Fidelis,19,46,Defender,https://media.api-sports.io/football/players/443088.png,124
544690,Leo Jance,20,66,Defender,https://media.api-sports.io/football/players/544690.png,124
463986,João Loiola,20,41,Defender,https://media.api-sports.io/football/players/463986.png,124
13715,J. Millán,27,29,Defender,https://media.api-sports.io/football/players/13715.png,124
10163,Renê,33,6,Defender,https://media.api-sports.io/football/players/10163.png,124
10267,Samuel Xavier,35,2,Defender,https://media.api-sports.io/football/players/10267.png,124
50763,L. Acosta,31,32,Midfielder,https://media.api-sports.io/football/players/50763.png,124
405028,Agner,20,43,Midfielder,https://media.api-sports.io/football/players/405028.png,124
10501,Alisson,32,25,Midfielder,https://media.api-sports.io/football/players/10501.png,124
316519,F. Bernal,22,5,Midfielder,https://media.api-sports.io/football/players/316519.png,124
505401,Davi Melo,20,91,Midfielder,https://media.api-sports.io/football/players/505401.png,124
266267,Hércules,25,35,Midfielder,https://media.api-sports.io/football/players/266267.png,124
280245,Martinelli,24,8,Midfielder,https://media.api-sports.io/football/players/280245.png,124
609503,Naara,18,58,Midfielder,https://media.api-sports.io/football/players/609503.png,124
10396,Nonato,27,16,Midfielder,https://media.api-sports.io/football/players/10396.png,124
1262,Otávio,31,94,Midfielder,https://media.api-sports.io/football/players/1262.png,124
10311,PH Ganso,36,10,Midfielder,https://media.api-sports.io/football/players/10311.png,124
502726,Riquelme,18,28,Attacker,https://media.api-sports.io/football/players/502726.png,124
51214,J. Savarino,29,11,Attacker,https://media.api-sports.io/football/players/51214.png,124
13523,G. Cano,37,14,Attacker,https://media.api-sports.io/football/players/13523.png,124
51603,A. Canobbio,27,17,Midfielder,https://media.api-sports.io/football/players/51603.png,124
304048,R. Castillo,26,19,Attacker,https://media.api-sports.io/football/players/304048.png,124
297522,John Kennedy,23,9,Attacker,https://media.api-sports.io/football/players/297522.png,124
519809,Keven Samuel,18,39,Attacker,https://media.api-sports.io/football/players/519809.png,124
634370,Matheus Reis,18,15,Attacker,https://media.api-sports.io/football/players/634370.png,124
70849,K. Serna,28,90,Attacker,https://media.api-sports.io/football/players/70849.png,124
2454,Y. Soteldo,28,7,Midfielder,https://media.api-sports.io/football/players/2454.png,124
568706,Wesley Nata,17,34,Attacker,https://media.api-sports.io/football/players/568706.png,124
