rodada_id,rodada,fase,numero_rodada
1,Regular Season - 1,Regular Season,1
2,Regular Season - 2,Regular Season,2
3,Regular Season - 3,Regular Season,3
4,Regular Season - 4,Regular Season,4
5,Regular Season - 5,Regular Season,5
6,Regular Season - 6,Regular Season,6
7,Regular Season - 7,Regular Season,7
8,Regular Season - 8,Regular Season,8
9,Regular Season - 9,Regular Season,9
10,Regular Season - 10,Regular Season,10
11,Regular Season - 11,Regular Season,11
12,Regular Season - 12,Regular Season,12
13,Regular Season - 13,Regular Season,13
14,Regular Season - 14,Regular Season,14
15,Regular Season - 15,Regular Season,15
16,Regular Season - 16,Regular Season,16
17,Regular Season - 17,Regular Season,17
18,Regular Season - 18,Regular Season,18
19,Regular Season - 19,Regular Season,19
20,Regular Season - 20,Regular Season,20
21,Regular Season - 21,Regular Season,21
22,Regular Season - 22,Regular Season,22
23,Regular Season - 23,Regular Season,23
24,Regular Season - 24,Regular Season,24
25,Regular Season - 25,Regular Season,25
26,Regular Season - 26,Regular Season,26
27,Regular Season - 27,Regular Season,27
28,Regular Season - 28,Regular Season,28
29,Regular Season - 29,Regular Season,29
30,Regular Season - 30,Regular Season,30
31,Regular Season - 31,Regular Season,31
32,Regular Season - 32,Regular Season,32
33,Regular Season - 33,Regular Season,33
34,Regular Season - 34,Regular Season,34
35,Regular Season - 35,Regular Season,35
36,Regular Season - 36,Regular Season,36
37,Regular Season - 37,Regular Season,37
38,Regular Season - 38,Regular Season,38
