tecnico_id,nome,primeiro_nome,sobrenome,idade,nacionalidade,data_nasc,local_nasc,pais_nasc,altura,peso,foto_url,team_id
129,Rogério Ceni,Rogério,Mücke Ceni,52.0,Brazil,1973-01-22,Pato Branco,Brazil,188 cm,85 kg,https://media.api-sports.io/football/coachs/129.png,118
3056,Cláudio Prates,Cláudio,Mendes Prates,60.0,Brazil,1965-09-18,,Brazil,,,https://media.api-sports.io/football/coachs/3056.png,118
7590,Bruno Lopes,Bruno,Lopes,41.0,Portugal,1984-04-11,,Portugal,,,https://media.api-sports.io/football/coachs/7590.png,118
10313,Preto Casagrande,Carlos Eduardo,Casagrande,42.0,Brazil,1975-05-07,Cascavel,Brazil,,,https://media.api-sports.io/football/coachs/10313.png,118
25694,Ceni Rogerio,,,,,,,,,,https://media.api-sports.io/football/coachs/25694.png,118
2082,Roger Machado,Roger,Machado Marques,50.0,Brazil,1975-04-25,Porto Alegre,Brazil,176 cm,,https://media.api-sports.io/football/coachs/2082.png,119
10396,Falcão,,,,,,,,,,https://media.api-sports.io/football/coachs/10396.png,119
15576,Pablo Fernandez,Pablo,de Toledo Fernandez,50.0,Brazil,1975-04-21,,Brazil,,,https://media.api-sports.io/football/coachs/15576.png,119
25744,Paulo Pezzolano,,,,,,,,,,https://media.api-sports.io/football/coachs/25744.png,119
2085,Bruno Lazaroni,Bruno Amorim,Lazaroni,45.0,Brazil,1980-09-13,Rio de Janeiro,Brazil,181 cm,75 kg,https://media.api-sports.io/football/coachs/2085.png,120
2813,Renato Paiva,Renato Manuel,Alves Paiva,55.0,Portugal,1970-03-22,,Portugal,,,https://media.api-sports.io/football/coachs/2813.png,120
2820,Ricardo Resende,Ricardo,Alves Resende,41.0,Brazil,1984-09-07,,Brazil,,,https://media.api-sports.io/football/coachs/2820.png,120
13244,Flávio Tenius,Flávio,Tenius,,Brazil,,,Brazil,,,https://media.api-sports.io/football/coachs/13244.png,120
15178,Carlos Leiria,Carlos Eduardo,Leiria Oliveira Alessandro,42.0,Brazil,1983-01-01,,Brazil,,,https://media.api-sports.io/football/coachs/15178.png,120
25253,Davide Ancelotti,,,,,,,,,,https://media.api-sports.io/football/coachs/25253.png,120
25742,Martin Anselmi,,,,,,,,,,https://media.api-sports.io/football/coachs/25742.png,120
28286,Pablo de Muner,,,,,,,,,,https://media.api-sports.io/football/coachs/28286.png,120
28348,Rodrigo Dias Bellao,,,,,,,,,,https://media.api-sports.io/football/coachs/28348.png,120
28558,Franclim Carvalho,,,,,,,,,,https://media.api-sports.io/football/coachs/28558.png,120
1103,Abel Ferreira,Abel Fernando,Moreira Ferreira,47.0,Portugal,1978-12-22,Penafiel,Portugal,,,https://media.api-sports.io/football/coachs/1103.png,121
7371,Andrey Lopes,Andrey,Lopes dos Santos,52.0,Brazil,1973-10-18,,Brazil,,,https://media.api-sports.io/football/coachs/7371.png,121
141,Renato Gaúcho,Renato,Portaluppi,63.0,Brazil,1962-09-09,Guaporé,Brazil,,,https://media.api-sports.io/football/coachs/141.png,124
143,Abel Braga,Abel Carlos,da Silva Braga,73.0,Brazil,1952-09-01,,Brazil,,,https://media.api-sports.io/football/coachs/143.png,124
846,L. Zubeldía,Luis Francisco,Zubeldía,44.0,Argentina,1981-01-13,Santa Rosa,Argentina,,,https://media.api-sports.io/football/coachs/846.png,124
1643,Oswaldo de Oliveira,Oswaldo,de Oliveira Filho,75.0,Brazil,1950-12-05,,Brazil,,,https://media.api-sports.io/football/coachs/1643.png,124
2201,Marcão,Marco Aurélio,de Oliveira,53.0,Brazil,1972-07-22,,Brazil,169 cm,,https://media.api-sports.io/football/coachs/2201.png,124
