temporada_id,ano,inicio,fim,em_andamento
2010,2010,2010-05-08,2010-11-28,False
2011,2011,2011-05-21,2011-12-04,False
2012,2012,2012-05-19,2012-12-02,False
2013,2013,2013-05-25,2013-12-08,False
2014,2014,2014-04-19,2014-12-07,False
2015,2015,2015-05-09,2015-12-06,False
2016,2016,2016-05-14,2016-12-11,False
2017,2017,2017-05-13,2017-12-03,False
2018,2018,2018-04-14,2018-12-02,False
2019,2019,2019-04-27,2019-12-08,False
2020,2020,2020-08-08,2021-02-26,False
2021,2021,2021-05-29,2021-12-10,False
2022,2022,2022-04-10,2022-11-13,False
2023,2023,2023-04-15,2023-12-03,False
2024,2024,2024-04-13,2024-12-08,False
2025,2025,2025-03-29,2025-12-07,False
2026,2026,2026-01-28,2026-12-02,True
