time_id,nome,codigo,pais,fundado,is_nacional,logo_url
118,Bahia,BAH,Brazil,1931,False,https://media.api-sports.io/football/teams/118.png
119,Internacional,INT,Brazil,1909,False,https://media.api-sports.io/football/teams/119.png
120,Botafogo,BOT,Brazil,1904,False,https://media.api-sports.io/football/teams/120.png
121,Palmeiras,PAL,Brazil,1914,False,https://media.api-sports.io/football/teams/121.png
124,Fluminense,FLU,Brazil,1902,False,https://media.api-sports.io/football/teams/124.png
126,Sao Paulo,SAO,Brazil,1930,False,https://media.api-sports.io/football/teams/126.png
127,Flamengo,FLA,Brazil,1895,False,https://media.api-sports.io/football/teams/127.png
130,Gremio,GRE,Brazil,1903,False,https://media.api-sports.io/football/teams/130.png
131,Corinthians,COR,Brazil,1910,False,https://media.api-sports.io/football/teams/131.png
133,Vasco DA Gama,VAS,Brazil,1898,False,https://media.api-sports.io/football/teams/133.png
134,Atletico Paranaense,ATL,Brazil,1924,False,https://media.api-sports.io/football/teams/134.png
135,Cruzeiro,CRU,Brazil,1921,False,https://media.api-sports.io/football/teams/135.png
136,Vitoria,VIT,Brazil,1899,False,https://media.api-sports.io/football/teams/136.png
140,Criciuma,CRI,Brazil,1947,False,https://media.api-sports.io/football/teams/140.png
144,Atletico Goianiense,ATL,Brazil,1937,False,https://media.api-sports.io/football/teams/144.png
152,Juventude,JUV,Brazil,1913,False,https://media.api-sports.io/football/teams/152.png
154,Fortaleza EC,FOR,Brazil,1918,False,https://media.api-sports.io/football/teams/154.png
794,RB Bragantino,BRA,Brazil,1928,False,https://media.api-sports.io/football/teams/794.png
1062,Atletico-MG,ATL,Brazil,1908,False,https://media.api-sports.io/football/teams/1062.png
1193,Cuiaba,CUI,Brazil,2001,False,https://media.api-sports.io/football/teams/1193.png
