liga_id,temporada_id,team_id,posicao,pontos,saldo_gols,aproveitamento_pct,forma,grupo,status,descricao,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,jogos_casa,vitorias_casa,empates_casa,derrotas_casa,gols_pro_casa,gols_contra_casa,aproveitamento_casa_pct,jogos_fora,vitorias_fora,empates_fora,derrotas_fora,gols_pro_fora,gols_contra_fora,aproveitamento_fora_pct,ultima_atualizacao
71,2024,120,1,79,30,69.3,WWWDD,Serie A,same,CONMEBOL Libertadores,38,23,10,5,59,29,19,12,5,2,31,13,71.9,19,11,5,3,28,16,66.7,2024-12-11T00:00:00+00:00
71,2024,121,2,73,27,64.0,LWLWW,Serie A,same,CONMEBOL Libertadores,38,22,7,9,60,33,19,12,2,5,34,16,66.7,19,10,5,4,26,17,61.4,2024-12-11T00:00:00+00:00
71,2024,127,3,70,19,61.4,DWWDW,Serie A,up,CONMEBOL Libertadores,38,20,10,8,61,42,19,11,5,3,30,21,66.7,19,9,5,5,31,21,56.1,2024-12-11T00:00:00+00:00
71,2024,154,4,68,14,59.6,WLLDD,Serie A,same,CONMEBOL Libertadores,38,19,11,8,53,39,19,14,5,0,32,8,82.5,19,5,6,8,21,31,36.8,2024-12-11T00:00:00+00:00
71,2024,119,5,65,17,57.0,LLLWW,Serie A,down,CONMEBOL Libertadores,38,18,11,9,53,36,19,11,5,3,30,15,66.7,19,7,6,6,23,21,47.4,2024-12-11T00:00:00+00:00
71,2024,126,6,59,10,51.8,LLLDD,Serie A,same,CONMEBOL Libertadores,38,17,8,13,53,43,19,12,3,4,31,18,68.4,19,5,5,9,22,25,35.1,2024-12-11T00:00:00+00:00
71,2024,131,7,56,9,49.1,WWWWW,Serie A,up,CONMEBOL Libertadores Qualifiers,38,15,11,12,54,45,19,10,8,1,37,18,66.7,19,5,3,11,17,27,31.6,2024-12-11T00:00:00+00:00
71,2024,118,8,53,0,46.5,WLWDL,Serie A,same,CONMEBOL Libertadores Qualifiers,38,15,8,15,49,49,19,11,3,5,25,15,63.2,19,4,5,10,24,34,29.8,2024-12-11T00:00:00+00:00
71,2024,135,9,52,2,45.6,WLDDL,Serie A,down,CONMEBOL Sudamericana,38,14,10,14,43,41,19,10,5,4,29,16,61.4,19,4,5,10,14,25,29.8,2024-12-11T00:00:00+00:00
71,2024,133,10,50,-13,43.9,WWDLL,Serie A,up,CONMEBOL Sudamericana,38,14,8,16,43,56,19,10,5,4,29,24,61.4,19,4,3,12,14,32,26.3,2024-12-11T00:00:00+00:00
71,2024,136,11,47,-7,41.2,DDWDW,Serie A,up,CONMEBOL Sudamericana,38,13,8,17,45,52,19,8,3,8,23,23,47.4,19,5,5,9,22,29,35.1,2024-12-11T00:00:00+00:00
71,2024,1062,12,47,-7,41.2,WLLDD,Serie A,down,CONMEBOL Sudamericana,38,11,14,13,47,54,19,7,7,5,27,26,49.1,19,4,7,8,20,28,33.3,2024-12-11T00:00:00+00:00
71,2024,124,13,46,-6,40.4,WWDDD,Serie A,up,CONMEBOL Sudamericana Group Stage,38,12,10,16,33,39,19,7,8,4,20,16,50.9,19,5,2,12,13,23,29.8,2024-12-11T00:00:00+00:00
71,2024,130,14,45,-6,39.5,LDWDD,Serie A,same,CONMEBOL Sudamericana Group Stage,38,12,9,17,44,50,19,9,2,8,26,26,50.9,19,3,7,9,18,24,28.1,2024-12-11T00:00:00+00:00
71,2024,152,15,45,-11,39.5,LWWDD,Serie A,down,,38,11,12,15,48,59,19,8,6,5,27,24,52.6,19,3,6,10,21,35,26.3,2024-12-11T00:00:00+00:00
71,2024,794,16,44,-4,38.6,WWDLD,Serie A,up,,38,10,14,14,44,48,19,8,7,4,27,19,54.4,19,2,7,10,17,29,22.8,2024-12-11T00:00:00+00:00
71,2024,134,17,42,-6,36.8,LLDDW,Serie A,down,Relegation,38,11,9,18,40,46,19,7,4,8,24,21,43.9,19,4,5,10,16,25,29.8,2024-12-11T00:00:00+00:00
71,2024,140,18,38,-19,33.3,LLLDL,Serie A,down,Relegation,38,9,11,18,42,61,19,5,8,6,22,27,40.4,19,4,3,12,20,34,26.3,2024-12-11T00:00:00+00:00
71,2024,144,19,30,-29,26.3,LWDLL,Serie A,up,Relegation,38,7,9,22,29,58,19,5,5,9,16,24,35.1,19,2,4,13,13,34,17.5,2024-12-11T00:00:00+00:00
71,2024,1193,20,30,-20,26.3,LLLDL,Serie A,down,Relegation,38,6,12,20,29,49,19,3,5,11,16,23,24.6,19,3,7,9,13,26,28.1,2024-12-11T00:00:00+00:00
