resultado_id,partida_id,time_casa_id,time_visitante_id,gols_casa_ht,gols_visitante_ht,gols_casa_ft,gols_visitante_ft,gols_casa_et,gols_visitante_et,gols_casa_ps,gols_visitante_ps,resultado,winner_id
1,1180355,119,118,0,0,2,1,,,,,H,119.0
2,1180364,140,152,1,0,1,1,,,,,D,
3,1180358,124,794,1,0,2,2,,,,,D,
4,1180361,126,154,0,0,1,2,,,,,A,154.0
5,1180360,131,1062,0,0,0,0,,,,,D,
6,1180359,133,130,2,0,2,1,,,,,H,133.0
7,1180362,134,1193,3,0,4,0,,,,,H,134.0
8,1180363,144,127,0,1,1,2,,,,,A,127.0
9,1180356,135,120,1,1,3,2,,,,,H,135.0
10,1180357,136,121,0,1,0,1,,,,,A,121.0
11,1180367,118,124,1,1,2,1,,,,,H,118.0
12,1180365,130,134,1,0,2,0,,,,,H,130.0
13,1180371,794,133,1,0,2,1,,,,,H,794.0
14,1180370,121,119,0,1,0,1,,,,,A,119.0
15,1180374,152,131,0,0,2,0,,,,,H,152.0
16,1180372,154,135,1,0,1,1,,,,,D,
17,1180366,1062,140,1,0,1,1,,,,,D,
18,1180368,127,126,1,0,2,1,,,,,H,127.0
19,1180369,120,144,1,0,1,0,,,,,H,120.0
20,1180378,124,133,1,0,2,1,,,,,H,124.0
